00021D72F4CB6DD3D6B1F316731D37E4AAA739D2F21B6A0ED0D9F05B9ABCA65F Tempo decorrido da Análise do VT = 0.90 segundos, CPU = 3%, Memoria = 13524 KiB
00022B07479DF0F6CDE2432CF00068C87ABA49F7218606471C0AA0F6130D90AA Tempo decorrido da Análise do VT = 1.12 segundos, CPU = 3%, Memoria = 13544 KiB
00023BCFC14CE3027A542987394A97C64B6C1B9304090F9593E203587E1C2048 Tempo decorrido da Análise do VT = 1.02 segundos, CPU = 4%, Memoria = 13528 KiB
0002604F9AA167EE58757E61D3CBBD1052C71E57D5258ED1F315F540A2FEB3B5 Tempo decorrido da Análise do VT = 1.02 segundos, CPU = 2%, Memoria = 13576 KiB
0002C6FC6AA8052DE9B747D4F3B52D476E35EE7E3026B512138F7A557B59A208 Tempo decorrido da Análise do VT = 1.49 segundos, CPU = 2%, Memoria = 13612 KiB
000328119CD7B5163660F2DC627119B9F154B8AC41F7A566EF3F0C3A22394A84 Tempo decorrido da Análise do VT = 1.38 segundos, CPU = 3%, Memoria = 13452 KiB
000369BE729471EAC3A6F46D9FC063ED6DEAFD0A0DCE50E4488D30218DE7E0D0 Tempo decorrido da Análise do VT = 0.94 segundos, CPU = 4%, Memoria = 13544 KiB
00037F9DA8584EFEE1B35311BC6BF07F666C36E443A4ADEF7C6C7169C5EE5019 Tempo decorrido da Análise do VT = 1.23 segundos, CPU = 3%, Memoria = 13548 KiB
0003964A78CD28D6C081F232369DC19E2564D1523CAC9AF2B4DE09B9922EE7DE Tempo decorrido da Análise do VT = 1.62 segundos, CPU = 2%, Memoria = 13480 KiB
0003D19850B318F6A8588DB5D1756629704C9147FFBA656A97CF27EEE39CAC6C Tempo decorrido da Análise do VT = 0.95 segundos, CPU = 3%, Memoria = 13688 KiB
0003E68B20D96E1CE109F5CBF4266E0D3ED3FE2448C20D0E06D78B7A27D79FCC Tempo decorrido da Análise do VT = 0.93 segundos, CPU = 4%, Memoria = 13516 KiB
